Document Name,Reference Number,Url
"Airman Certification Standards, Instrument Rating",FAA-S-ACS-8C,https://www.faa.gov/training_testing/testing/acs/instrument_rating_airplane_acs_8.pdf
"IFR Charts (Complete set, 1.2GB)",,https://aeronav.faa.gov/enroute/12-26-2024/DDECUS.zip
Aeronautical Information Manual,AIM,https://www.faa.gov/air_traffic/publications/media/AIM_Bsc_w_Chg_1_2_and_3_dtd_9-5-24.pdf
Airman Certification Standards Companion Guide for Pilots,FAA-G-ACS-2,https://www.faa.gov/training_testing/testing/acs/acs_companion_guide_pilots.pdf
Airplane Flying Handbook,FAA-H-8083-3,https://www.faa.gov/sites/faa.gov/files/regulations_policies/handbooks_manuals/aviation/airplane_handbook/00_afh_full.pdf
Anti-Ice Systems,AC 91-74,https://www.faa.gov/documentLibrary/media/Advisory_Circular/AC_91-74B.pdf
Aviation Weather,FAA-H-8083-28,https://www.faa.gov/sites/faa.gov/files/FAA-H-8083-28A_FAA_Web.pdf
BasicMed Guidance,AC 68-1,https://www.faa.gov/documentLibrary/media/Advisory_Circular/AC_68-1A.pdf
Currency Requirements for Flight Review/IPC,AC 61-98,https://www.faa.gov/documentLibrary/media/Advisory_Circular/AC_61-98E.pdf
DA-40 XML AFM,AFM/POH,Attached separately
Electronic Charts,AC 91-78,https://www.faa.gov/documentLibrary/media/Advisory_Circular/AC_91-78A.pdf
Electronic Devices,AC 91-21-1,https://www.faa.gov/documentLibrary/media/Advisory_Circular/Editorial_Update_AC_91.21-1D.pdf
FAA English Language Standard,AC 60-28,https://www.faa.gov/documentLibrary/media/Advisory_Circular/AC_60-28B.pdf
Federal Aviation Regulations,14 CFR Part 141,https://www.ecfr.gov/api/versioner/v1/full/2024-12-20/title-14.xml?part=141
Federal Aviation Regulations,14 CFR Part 61,https://www.ecfr.gov/api/versioner/v1/full/2024-11-22/title-14.xml?part=61
Federal Aviation Regulations,14 CFR Part 91,https://www.ecfr.gov/api/versioner/v1/full/2024-12-20/title-14.xml?part=91
Federal Aviation Regulations,14 CFR Part 97,https://www.ecfr.gov/api/versioner/v1/full/2024-12-20/title-14.xml?part=97
Inspector's Guidance,FAA Order 8900.1,https://www.faa.gov/documentLibrary/media/Order/8900.1.pdf
Instrument Flying Handbook,FAA-H-8083-15,https://www.faa.gov/sites/faa.gov/files/regulations_policies/handbooks_manuals/aviation/FAA-H-8083-15B.pdf
Instrument Procedures Handbook,FAA-H-8083-16,https://www.faa.gov/sites/faa.gov/files/regulations_policies/handbooks_manuals/aviation/instrument_procedures_handbook/FAA-H-8083-16B.pdf
Pilot's Handbook of Aeronautical Knowledge,FAA-H-8083-25,https://www.faa.gov/regulations_policies/handbooks_manuals/aviation/faa-h-8083-25c.pdf
RNAV Operations,AC 90-100,https://www.faa.gov/documentLibrary/media/Advisory_Circular/AC_90-100A_CHG_2.pdf
RNP Operations,AC 90-105,https://www.faa.gov/documentLibrary/media/Advisory_Circular/AC_90-105A_Ed_Update_2.pdf
Risk Management Handbook,FAA-H-8083-2,https://www.faa.gov/sites/faa.gov/files/2022-06/risk_management_handbook_2A.pdf
WAAS Operations,AC 90-107,https://www.faa.gov/documentLibrary/media/Advisory_Circular/AC_90-107.pdf
Weather Information,AC 91-92,https://www.faa.gov/documentLibrary/media/Advisory_Circular/AC_91-92.pdf
